Datetime,TAVG
12/12/2015,64
12/13/2015,60
12/14/2015,59
12/15/2015,46
12/16/2015,46
12/17/2015,45
12/18/2015,32
12/19/2015,31
12/20/2015,34
12/21/2015,48
12/22/2015,56
12/23/2015,59
12/24/2015,54
12/25/2015,53
12/26/2015,50
12/27/2015,59
12/28/2015,40
12/29/2015,47
12/30/2015,39
12/31/2015,34
1/1/2016,32
1/2/2016,32
1/3/2016,33
1/4/2016,32
1/5/2016,25
1/6/2016,29
1/7/2016,35
1/8/2016,43
1/9/2016,49
1/10/2016,35
1/11/2016,13
1/12/2016,27
1/13/2016,13
1/14/2016,35
1/15/2016,44
1/16/2016,34
1/17/2016,27
1/18/2016,9
1/19/2016,12
1/20/2016,18
1/21/2016,21
1/22/2016,24
1/23/2016,25
1/24/2016,22
1/25/2016,33
1/26/2016,42
1/27/2016,30
1/28/2016,32
1/29/2016,37
1/30/2016,42
1/31/2016,57
2/1/2016,49
2/2/2016,44
2/3/2016,56
